Movie_Title,Movie_URL,Movie_Cover,Release_Date,Genre,Movie_Directors
"Charlie, mon héros",https://www.imdb.com/title/tt0096787/?ref_=fn_al_tt_1,"https://m.media-amazon.com/images/M/MV5BNzQwZWNlMzktZjBhYy00MDFkLTg0MjktODNiOWZmOGI5N2FjXkEyXkFqcGdeQXVyODIyOTEyMzY@._V1_QL75_UY74_CR1,0,50,74_.jpg",1989,,"Dom DeLuise, Burt Reynolds"
All American,https://www.imdb.com/title/tt7414406/?ref_=fn_al_tt_2,"https://m.media-amazon.com/images/M/MV5BNjA2OTIxZmYtMDI4OC00NjJlLTgxNzEtYmJlMmM2MGUwNTk4XkEyXkFqcGdeQXVyODUzNDU3NTA@._V1_QL75_UY74_CR5,0,50,74_.jpg",2018–,Série télévisée,Série télévisée
All Ladies Do It,https://www.imdb.com/title/tt0104014/?ref_=fn_al_tt_3,"https://m.media-amazon.com/images/M/MV5BNTYxZWVkYjAtZDg3Zi00OTViLWI2ZjYtODc3MTA4Njc3M2Y4XkEyXkFqcGdeQXVyNjQ2MjQ5NzM@._V1_QL75_UY74_CR1,0,50,74_.jpg",1992,,"Claudia Koll, Paolo Lanza"
All Creatures Great and Small,https://www.imdb.com/title/tt10590066/?ref_=fn_al_tt_4,"https://m.media-amazon.com/images/M/MV5BZGU5NGRiMjAtMTJhYy00ZmNjLWJiNzktYTMwZTNhNzI1NTM5XkEyXkFqcGdeQXVyNDk3ODk4OQ@@._V1_QL75_UX50_CR0,8,50,74_.jpg",2020–,Série télévisée,Série télévisée
Sans jamais nous connaître,https://www.imdb.com/title/tt21192142/?ref_=fn_al_tt_5,"https://m.media-amazon.com/images/M/MV5BMWRiZWRiYjYtMGVkMy00YWQ0LTkzZDMtMzkyZWM4NWViN2FhXkEyXkFqcGc@._V1_QL75_UY74_CR1,0,50,74_.jpg",2023,,"Andrew Scott, Paul Mescal"
For All Mankind,https://www.imdb.com/title/tt7772588/?ref_=fn_al_tt_6,"https://m.media-amazon.com/images/M/MV5BMmNhY2U5ZTMtYTRjNS00MWRlLThmOTUtNTBlNDUyYWUyMTZkXkEyXkFqcGdeQXVyMTUzMTg2ODkz._V1_QL75_UX50_CR0,1,50,74_.jpg",2019–,Série télévisée,Série télévisée
Toute la lumière que nous ne pouvons voir,https://www.imdb.com/title/tt15320362/?ref_=fn_al_tt_7,"https://m.media-amazon.com/images/M/MV5BNTZmZTdlY2QtMjVhYS00ZmJlLWExYTctMTQwNWQ5ZTc5ODE0XkEyXkFqcGdeQXVyMTUyNjc3NDQ4._V1_QL75_UX50_CR0,0,50,74_.jpg",2023,Mini-série télévisée,Mini-série télévisée
All in the Family,https://www.imdb.com/title/tt0066626/?ref_=fn_al_tt_8,"https://m.media-amazon.com/images/M/MV5BNGFlMjM4ZDQtZmY3MS00NjRiLWE0MjMtOGFiNzcxMjlmNjI5XkEyXkFqcGdeQXVyMTUyNjc3NDQ4._V1_QL75_UX50_CR0,1,50,74_.jpg",1971–1979,Série télévisée,Série télévisée
All of Us Are Dead,https://www.imdb.com/title/tt14169960/?ref_=fn_al_tt_9,"https://m.media-amazon.com/images/M/MV5BZDY4ZmZhNzMtNjdkMC00NTE3LWFjYzQtOGE4OTllOGY1NTk5XkEyXkFqcGc@._V1_QL75_UX50_CR0,0,50,74_.jpg",2022–,Série télévisée,Série télévisée
All About Anna,https://www.imdb.com/title/tt0349080/?ref_=fn_al_tt_10,"https://m.media-amazon.com/images/M/MV5BMjcyMDg3MTcyMF5BMl5BanBnXkFtZTcwNjIzMjA0MQ@@._V1_QL75_UY74_CR2,0,50,74_.jpg",2005,Vidéo,Vidéo
De si jolis chevaux,https://www.imdb.com/title/tt0149624/?ref_=fn_al_tt_11,"https://m.media-amazon.com/images/M/MV5BZmI1N2Y4NTYtMzM0NS00YmNhLTk4MGUtYzg3NWE4Y2JlNjlkXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_QL75_UX50_CR0,0,50,74_.jpg",2000,,"Matt Damon, Penélope Cruz"
Everything Everywhere All at Once,https://www.imdb.com/title/tt6710474/?ref_=fn_al_tt_12,"https://m.media-amazon.com/images/M/MV5BZTQ4YTk5NmUtOGEzNi00ZjY1LTg5ZjItNDUyOTk0YWJiZDFiXkEyXkFqcGdeQXVyNjA5ODQxMDI@._V1_QL75_UY74_CR1,0,50,74_.jpg",2022,,"Michelle Yeoh, Stephanie Hsu"
All American: Homecoming,https://www.imdb.com/title/tt14088994/?ref_=fn_al_tt_13,"https://m.media-amazon.com/images/M/MV5BYzkzZjk1MmYtZTRiZC00MDA4LTg1ZjItYmJjN2UyMWYyM2ZkXkEyXkFqcGdeQXVyODUzNDU3NTA@._V1_QL75_UY74_CR5,0,50,74_.jpg",2022–2024,Série télévisée,Série télévisée
Les hommes du président,https://www.imdb.com/title/tt0074119/?ref_=fn_al_tt_14,"https://m.media-amazon.com/images/M/MV5BYjVkMTBiYTMtMTM5ZS00MzY2LWIwMzktZjI1NDIyZGE1OWJmXkEyXkFqcGdeQXVyODIyOTEyMzY@._V1_QL75_UX50_CR0,1,50,74_.jpg",1976,,"Dustin Hoffman, Robert Redford"
La force du destin,https://www.imdb.com/title/tt0065272/?ref_=fn_al_tt_15,"https://m.media-amazon.com/images/M/MV5BZGM3NjMzY2UtMzQ5Yi00NzdiLTgxNTUtY2JkNjNlMzE3YTcyXkEyXkFqcGc@._V1_QL75_UY74_CR12,0,50,74_.jpg",1970–2011,Série télévisée,Série télévisée
All That,https://www.imdb.com/title/tt0111875/?ref_=fn_al_tt_16,"https://m.media-amazon.com/images/M/MV5BZjk4NTc1MjYtYmI2Yy00NzRjLTkwNmItOGM1NjExMThlNzhkXkEyXkFqcGdeQXVyNjc0MjkzNjc@._V1_QL75_UX50_CR0,1,50,74_.jpg",1994–2020,Série télévisée,Série télévisée
All Rise,https://www.imdb.com/title/tt10329042/?ref_=fn_al_tt_17,"https://m.media-amazon.com/images/M/MV5BYzBkN2E2Y2MtMjk1NS00YzMzLWJjODItYzFhYWE1Y2U1Yzk5XkEyXkFqcGdeQXVyMTM1NjM2ODg1._V1_QL75_UX50_CR0,0,50,74_.jpg",2019–2023,Série télévisée,Série télévisée
Agatha All Along,https://www.imdb.com/title/tt15571732/?ref_=fn_al_tt_18,"https://m.media-amazon.com/images/M/MV5BOWRjZDZhNmEtN2FiYi00N2Y5LTgwNTYtZGJlMzBhYmE5MmRhXkEyXkFqcGc@._V1_QL75_UX50_CR0,0,50,74_.jpg",2024–,Mini-série télévisée,Mini-série télévisée
Que le spectacle commence...,https://www.imdb.com/title/tt0078754/?ref_=fn_al_tt_19,"https://m.media-amazon.com/images/M/MV5BNTZiM2I4ZDQtMDUzYi00Nzk4LWFmM2UtZjAxODU2NTQwMTFlXkEyXkFqcGdeQXVyMjExMzI0OTg@._V1_QL75_UY74_CR4,0,50,74_.jpg",1979,,"Roy Scheider, Jessica Lange"
All Hallows' Eve,https://www.imdb.com/title/tt2900624/?ref_=fn_al_tt_20,"https://m.media-amazon.com/images/M/MV5BYTUyMGVhMzUtZmY3NS00MzJkLTkxZjQtNzUyZmY5ZDQ1YTZiXkEyXkFqcGdeQXVyMjQ0OTA1Nzc@._V1_QL75_UX50_CR0,1,50,74_.jpg",2013,,"Katie Maguire, Catherine A. Callahan"
Love & Secrets,https://www.imdb.com/title/tt1175709/?ref_=fn_al_tt_21,"https://m.media-amazon.com/images/M/MV5BMTcwMjIyMTc2Nl5BMl5BanBnXkFtZTcwOTQyMzc5Mw@@._V1_QL75_UX50_CR0,0,50,74_.jpg",2010,,"Ryan Gosling, Kirsten Dunst"
Je ne vois que toi,https://www.imdb.com/title/tt4486986/?ref_=fn_al_tt_22,"https://m.media-amazon.com/images/M/MV5BNzBlYWE1MWUtMGY0YS00OWRjLTk4ZmEtODUzNWI1ZDJmNGUzXkEyXkFqcGdeQXVyMTEyOTQ1OTk4._V1_QL75_UX50_CR0,1,50,74_.jpg",2016,,"Blake Lively, Jason Clarke"
All Creatures Great and Small,https://www.imdb.com/title/tt0075472/?ref_=fn_al_tt_23,"https://m.media-amazon.com/images/M/MV5BMzU2Mjg1OTAtOTc3ZS00MTk4LTliYWEtZWU1OTk2YTg3MzdkXkEyXkFqcGdeQXVyMTgxOTIzNzk@._V1_QL75_UX50_CR0,1,50,74_.jpg",1978–1990,Série télévisée,Série télévisée
Tout l'argent du monde,https://www.imdb.com/title/tt5294550/?ref_=fn_al_tt_24,"https://m.media-amazon.com/images/M/MV5BZDVkNDk3NjgtMTBiMS00YTM5LTkxZTktMzlkYWEzNzIzOTA2XkEyXkFqcGdeQXVyMjgyNjk3MzE@._V1_QL75_UY74_CR3,0,50,74_.jpg",2017,,"Michelle Williams, Christopher Plummer"
All Saints,https://www.imdb.com/title/tt0163924/?ref_=fn_al_tt_25,"https://m.media-amazon.com/images/M/MV5BZWMzMmU1ZjYtNTI5NS00YzkxLTgxZDctYmY3NTQ2NzNiOTJhXkEyXkFqcGdeQXVyNTE1NjY5Mg@@._V1_QL75_UY74_CR2,0,50,74_.jpg",1998–2009,Série télévisée,Série télévisée
Ève...,https://www.imdb.com/title/tt0042192/?ref_=fn_al_tt_26,"https://m.media-amazon.com/images/M/MV5BMTgyNjAxMDcyOV5BMl5BanBnXkFtZTgwMzI4NzQ0MjE@._V1_QL75_UY74_CR3,0,50,74_.jpg",1950,,"Bette Davis, Anne Baxter"
All the Queen's Men,https://www.imdb.com/title/tt14321632/?ref_=fn_al_tt_27,"https://m.media-amazon.com/images/M/MV5BY2Q0MzQwZGEtMjk4ZC00MTgzLWEyOGEtMzU2ZjVhMDI2N2RhXkEyXkFqcGdeQXVyMTAxNzQ1NzI@._V1_QL75_UX50_CR0,1,50,74_.jpg",2021–,Série télévisée,Série télévisée
Bones and All,https://www.imdb.com/title/tt10168670/?ref_=fn_al_tt_28,"https://m.media-amazon.com/images/M/MV5BMjcxOWE1ZTItOWIyZS00YzliLWEzYmEtM2RhNTJlNDA1ODAyXkEyXkFqcGdeQXVyMTM1MTE1NDMx._V1_QL75_UY74_CR3,0,50,74_.jpg",2022,,"Timothée Chalamet, Taylor Russell"
